	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3	sw480-1	sw480-2	sw480-3	cds_length	gene_name
NM_000057	727	735	727	839	736	913	815	887	865	4528	BLM
NM_000059	881	923	953	825	656	888	766	910	870	11386	BRCA2
NM_000060	123	112	107	133	89	110	253	304	283	2065	BTD
NM_000062	2	1	1	9	7	10	16	11	13	1966	SERPING1
NM_000063	0	0	0	0	0	0	0	0	0	2838	C2
NM_000063_2	0	0	0	0	0	0	0	0	0	2838	C2
NM_000063_3	0	0	0	0	0	0	0	0	0	2838	C2
NM_000063_7	0	0	0	0	0	0	0	0	0	2838	C2
NM_000064	7887	7036	7415	34	17	23	22	22	20	5101	C3
NM_000067	2	7	1	0	0	0	1	0	0	1666	CA2
NM_000068	1	0	0	2	0	0	0	5	1	8636	CACNA1A
NM_000070	4	3	1	2	1	1	2	1	2	3316	CAPN3
NM_000071	316	272	285	808	723	835	711	734	680	2590	CBS
NM_000075	3590	3452	3479	5879	5464	6305	4229	4164	4559	2002	CDK4
NM_000076	46	28	24	195	146	191	399	314	283	1930	CDKN1C
NM_000077	870	850	814	609	496	600	724	619	606	1254	CDKN2A
NM_000078	0	0	0	0	0	0	0	0	0	1717	CETP
NM_000079	1	2	2	0	1	0	1	2	0	1981	CHRNA1
NM_000080	43	31	42	46	21	44	50	51	44	2460	CHRNE
NM_000081	252	274	237	142	90	119	107	116	101	13476	LYST
NM_000082	169	172	159	181	152	205	165	168	164	2044	ERCC8
NM_000084	371	342	324	637	505	700	476	519	495	9505	CLCN5
NM_000085	0	0	0	11	3	4	3	10	5	2626	CLCNKB
NM_000086	344	340	351	371	373	407	370	383	374	1877	CLN3
NM_000087	4	4	4	0	2	1	0	3	1	2783	CNGA1
NM_000088	235	202	206	183	177	238	235	254	241	5927	COL1A1
NM_000091	11	16	15	9	8	4	0	3	3	8097	COL4A3
NM_000092	53	40	42	7	10	7	2	2	3	10341	COL4A4
NM_000093	3	3	1	15	9	14	21	21	11	8438	COL5A1
NM_000094	442	357	312	231	208	257	399	485	409	9169	COL7A1
NM_000096	77	81	103	99	101	97	94	100	97	4662	CP
NM_000097	499	539	468	389	326	427	762	672	687	2709	CPOX
NM_000098	629	572	527	748	673	783	727	698	683	3094	CPT2
NM_000099	2474	2326	2333	3554	3098	3653	5139	4736	4446	775	CST3
NM_000100	2642	2334	2296	1939	1789	1975	1854	1772	1729	940	CSTB
NM_000101	3137	2470	2349	1197	1082	1248	1761	1277	1349	723	CYBA
NM_000102	0	1	1	1	0	1	1	2	0	1870	CYP17A1
NM_000103	2	3	4	6	1	4	0	4	4	4405	CYP19A1
NM_000104	23	31	30	18	14	18	15	24	18	5153	CYP1B1
NM_000106	17	17	21	20	16	14	19	30	19	1659	CYP2D6
NM_000107	779	738	674	897	736	961	1019	962	949	1848	DDB2
NM_000108	3993	4144	3925	3818	3212	3915	2969	3284	3288	3579	DLD
NM_000109	203	218	202	7	5	11	2	8	5	14069	DMD
NM_000110	87	70	87	0	0	0	1	0	0	4447	DPYD
NM_000111	0	0	0	0	0	0	0	0	0	2894	SLC26A3
NM_000112	1737	1701	1638	900	694	874	912	927	891	8075	SLC26A2
NM_000113	919	771	786	1195	1075	1288	1300	1256	1303	2106	TOR1A
NM_000114	27	24	31	58	41	60	515	493	397	2398	EDN3
NM_000116	322	322	275	321	256	331	351	353	312	1903	TAZ
NM_000117	1757	1481	1527	1631	1372	1706	1989	1584	1678	1339	EMD
NM_000118	19	17	19	38	22	25	32	40	38	3196	ENG
NM_000120	972	930	981	1612	1397	1709	1205	1238	1248	1831	EPHX1
NM_000121	48	54	52	51	45	67	85	72	62	2441	EPOR
NM_000122	1794	1845	1724	1953	1773	2121	1859	1961	1899	2750	ERCC3
NM_000123	445	385	403	883	803	920	719	703	641	4085	ERCC5
NM_000124	237	242	240	178	122	169	248	216	222	7006	ERCC6
NM_000125	0	1	1	0	1	0	0	2	1	6329	ESR1
NM_000126	2354	2491	2202	2093	1977	2235	1867	1989	2079	1354	ETFA
NM_000127	367	383	387	1322	1212	1355	1030	994	1045	3363	EXT1
NM_000129	8	5	5	14	6	8	127	118	135	3863	F13A1
NM_000132	222	232	202	169	134	173	168	190	170	9035	F8
NM_000135	1240	1068	1071	1245	1081	1265	1292	1372	1418	5460	FANCA
NM_000136	621	519	570	674	570	648	629	688	624	4592	FANCC
NM_000137	461	446	484	1207	1023	1184	745	714	714	1797	FAH
NM_000138	8	3	9	5	7	6	5	10	6	11695	FBN1
NM_000140	408	383	374	278	220	260	301	282	272	7260	FECH
NM_000141	175	125	125	168	136	168	64	68	79	4640	FGFR2
NM_000142	73	64	64	132	132	134	172	173	134	4287	FGFR3
NM_000143	2156	1939	2020	2087	1901	2222	2031	1929	2121	1867	FH
NM_000144	714	716	681	668	589	659	741	692	727	7168	FXN
NM_000145	0	0	0	0	0	0	0	0	0	2774	FSHR
NM_000146	36497	34373	33984	45019	42439	47690	29628	28657	31406	871	FTL
NM_000147	963	898	885	1229	966	1261	1307	1311	1182	2117	FUCA1
NM_000148	429	368	361	210	152	206	182	187	147	4246	FUT1
NM_000149	1	0	0	0	0	1	0	1	1	2590	FUT3
NM_000150	0	0	0	0	2	0	0	0	0	3137	FUT6
NM_000152	382	358	319	615	557	657	700	658	621	3775	GAA
NM_000153	4	2	0	44	33	40	71	69	72	3883	GALC
NM_000154	410	355	313	337	277	352	465	367	377	1361	GALK1
NM_000155	546	533	547	349	309	362	430	463	398	1405	GALT
NM_000156	42	45	45	250	208	265	367	285	317	1138	GAMT
NM_000157	403	442	435	575	519	639	620	633	602	2324	GBA
NM_000158	546	540	513	561	510	573	681	684	656	3099	GBE1
NM_000159	516	455	459	462	412	537	488	498	508	1822	GCDH
NM_000161	346	314	331	264	194	266	243	273	245	2925	GCH1
NM_000163	1	0	0	0	0	0	0	0	0	4563	GHR
NM_000164	49	36	41	33	37	46	59	50	42	2024	GIPR
NM_000166	30	32	37	369	293	345	1019	949	996	1654	GJB1
NM_000167	234	188	198	309	246	351	312	292	333	4472	GK
NM_000168	960	935	877	4277	3384	4226	3882	3863	3741	8214	GLI3
NM_000169	1104	1189	1223	1263	1152	1301	874	953	1031	1418	GLA
NM_000170	2	0	0	0	0	1	0	0	0	3809	GLDC
NM_000171	0	0	0	2	1	0	1	0	1	1797	GLRA1
NM_000173	14	15	15	20	8	23	19	21	22	2501	GP1BA
NM_000175	13128	12531	12995	12978	11887	13051	11684	10862	11732	4194	GPI
NM_000176	673	681	608	240	209	232	211	201	238	6784	NR3C1
NM_000177	4526	4044	4022	2356	2026	2435	2788	2671	2554	2649	GSN
NM_000178	2068	1976	1947	2579	2326	2632	2881	2938	2878	1900	GSS
NM_000179	3496	3501	3240	3812	3278	3931	3278	3487	3546	4328	MSH6
NM_000180	0	3	1	1	0	2	5	0	3	3623	GUCY2D
NM_000181	928	901	875	1219	1118	1311	1135	1146	1126	2298	GUSB
NM_000182	4688	4621	4444	5626	4864	5451	4395	4469	4571	3037	HADHA
NM_000183	2597	2554	2520	2984	2505	3051	2724	2619	2562	2188	HADHB
NM_000184	1	1	1	4	2	10	0	1	1	583	HBG2
NM_000185	0	0	0	5	1	9	0	0	0	2221	SERPIND1
NM_000186	1	0	0	0	0	0	0	0	0	4127	CFH
NM_000187	1	0	0	1	0	1	0	0	0	2010	HGD
NM_000188	2015	1934	1947	1982	1718	2042	1846	1885	1960	3601	HK1
NM_000189	1429	1347	1309	1561	1299	1575	918	928	1002	7093	HK2
NM_000190	990	914	851	1197	1025	1286	1103	1081	1082	1509	HMBS
NM_000191	335	338	290	472	432	484	482	477	438	1608	HMGCL
NM_000193	61	49	47	35	30	24	80	77	73	1576	SHH
NM_000194	2632	2633	2627	2878	2461	2917	2537	2471	2533	1415	HPRT1
NM_000195	540	475	501	559	456	549	529	550	511	3715	HPS1
NM_000196	61	76	65	63	56	53	40	53	45	1882	HSD11B2
NM_000197	0	1	0	0	0	1	0	0	1	1134	HSD17B3
NM_000199	58	45	55	29	23	22	23	31	37	2768	SGSH
NM_000201	4567	3820	4099	966	889	1042	668	630	679	3246	ICAM1
NM_000202	2955	2883	2783	7703	6554	7820	5577	5553	5684	5852	IDS
NM_000203	56	36	31	84	75	78	101	129	88	2186	IDUA
NM_000204	0	2	1	0	0	0	0	0	0	2161	CFI
NM_000206	15	26	20	34	20	36	29	26	22	1534	IL2RG
NM_000208	229	188	209	339	260	319	329	274	325	9059	INSR
NM_000209	58	52	58	80	80	86	60	57	73	2573	PDX1
NM_000210	7722	7605	7459	6861	5885	7042	7289	7396	7848	5810	ITGA6
NM_000211	102	86	87	73	51	48	23	17	25	2958	ITGB2
NM_000212	41	31	37	4	2	3	2	1	1	4894	ITGB3
NM_000213	5588	4912	5225	2945	2686	3100	4224	3791	3902	5919	ITGB4
NM_000214	366	335	328	644	599	632	381	421	426	5987	JAG1
NM_000215	35	38	28	58	47	53	77	83	38	5434	JAK3
NM_000216	0	0	0	0	0	0	0	0	0	6314	KAL1
NM_000218	47	27	39	51	36	50	41	43	30	3246	KCNQ1
NM_000219	1	0	1	1	0	0	0	0	0	3572	KCNE1
NM_000221	400	423	352	429	386	462	463	435	480	2415	KHK
NM_000222	4	2	1	1	0	0	1	1	0	5176	KIT
NM_000224	37818	37896	37799	50864	47037	53322	44287	40750	43728	1467	KRT18
NM_000227	1830	1715	1838	468	365	467	357	405	408	5617	LAMA3
NM_000228	1340	1196	1208	1139	1023	1228	382	390	416	4061	LAMB3
NM_000229	98	55	104	117	113	121	192	193	148	1354	LCAT
NM_000231	0	1	2	0	0	0	0	0	0	1655	SGCG
NM_000232	364	347	346	516	441	542	649	645	600	4279	SGCB
NM_000233	0	0	0	0	0	0	0	0	0	3093	LHCGR
NM_000234	2050	1949	1935	1636	1521	1679	1915	1863	1889	3083	LIG1
NM_000235	1041	1045	1037	543	473	535	569	614	572	2623	LIPA
NM_000236	1	0	0	0	0	0	0	0	0	1604	LIPC
NM_000237	54	52	64	43	37	50	72	81	73	3747	LPL
NM_000238	36	22	32	24	43	31	37	42	36	4290	KCNH2
NM_000239	7	2	5	7	2	6	18	16	13	1516	LYZ
NM_000240	1556	1431	1377	315	270	314	157	158	167	5330	MAOA
NM_000243	44	39	38	200	189	234	137	123	140	3499	MEFV
NM_000244	939	864	932	1162	1121	1114	1455	1332	1235	2778	MEN1
NM_000245	1973	2008	1777	182	125	164	155	169	181	6622	MET
NM_000246	238	225	194	6	6	8	5	7	2	4654	CIITA
NM_000247	26	30	25	30	18	31	27	38	29	1371	MICA
NM_000247_2	43	48	35	32	21	27	34	37	34	1365	MICA
NM_000247_3	22	14	16	15	7	13	15	9	9	1365	MICA
NM_000247_4	8	13	16	13	10	14	12	13	5	1365	MICA
NM_000247_5	19	11	17	18	6	11	16	10	7	1365	MICA
NM_000248	99	107	91	32	28	47	81	82	74	4472	MITF
NM_000249	895	1010	891	1117	899	1142	1480	1627	1535	2662	MLH1
NM_000251	2989	2933	2807	3268	2815	3432	3153	3209	3249	3209	MSH2
NM_000252	460	464	403	993	842	1043	875	860	831	3436	MTM1
NM_000253	1	1	1	0	0	0	0	0	1	4090	MTTP
NM_000254	559	573	561	804	685	797	692	794	782	10558	MTR
NM_000255	563	549	503	592	493	675	636	668	639	3886	MUT
NM_000259	755	713	775	2252	1891	2286	1842	1913	1951	12225	MYO5A
NM_000260	3	1	0	2	5	3	7	5	4	7465	MYO7A
NM_000262	601	505	534	454	369	455	532	534	582	3726	NAGA
NM_000263	257	234	242	540	462	550	472	474	505	2782	NAGLU
NM_000264	832	738	737	2144	1752	2135	2403	2433	2392	7943	PTCH1
NM_000265	2	3	4	0	0	1	0	1	1	1398	NCF1
NM_000266	30	32	34	275	228	302	248	250	255	2002	NDP
NM_000267	2911	2651	2662	3280	2620	3467	3902	4127	4118	12362	NF1
NM_000268	1289	1156	1117	848	678	858	801	743	777	6029	NF2
NM_000269	3579	3453	3455	3813	3548	4112	3364	3511	3867	811	NME1
NM_000270	1806	1678	1669	1799	1610	1820	1106	1227	1291	2421	PNP
NM_000271	1021	914	932	1803	1510	1766	1510	1560	1565	4814	NPC1
NM_000272	64	79	65	73	79	86	81	84	76	2750	NPHP1
NM_000273	96	100	99	96	93	92	25	24	31	1696	GPR143
NM_000274	4250	4165	4050	2853	2425	2992	2600	2594	2520	2092	OAT
NM_000275	0	0	0	5	3	10	5	2	3	3138	OCA2
NM_000276	1658	1605	1581	2412	2118	2484	2093	2083	2064	5154	OCRL
NM_000277	1	0	1	2	0	1	0	0	1	2681	PAH
NM_000278	2	0	2	12	11	14	16	18	15	4057	PAX2
NM_000280	336	347	305	723	659	768	656	685	644	6966	PAX6
NM_000281	1215	1196	1122	1802	1520	1764	1584	1547	1531	1006	PCBD1
NM_000282	239	285	243	532	416	517	360	385	358	2564	PCCA
NM_000283	0	0	0	0	1	0	2	0	2	3403	PDE6B
NM_000284	4369	3982	3950	4640	4102	5091	4197	4219	4429	3372	PDHA1
NM_000285	1161	1119	994	1570	1375	1713	1448	1418	1460	2010	PEPD
NM_000286	53	61	56	144	104	135	97	109	117	2683	PEX12
NM_000287	373	360	335	501	430	469	422	394	378	3498	PEX6
NM_000288	124	108	105	124	111	109	132	127	118	1482	PEX7
NM_000289	1712	1590	1629	2758	2379	2736	2796	2858	2797	3224	PFKM
NM_000290	14	10	22	11	11	10	20	24	30	857	PGAM2
NM_000291	14564	14260	13652	14526	12604	14605	12924	13437	13848	2423	PGK1
NM_000292	868	739	819	722	567	764	719	804	707	5325	PHKA2
NM_000293	948	930	888	883	678	811	709	761	767	5491	PHKB
NM_000294	484	461	473	497	455	513	520	501	521	5510	PHKG2
NM_000295	3306	3285	3306	1179	941	1149	1239	1138	1166	3220	SERPINA1
NM_000296	2208	1684	1650	1876	1737	2048	2495	2321	2225	14135	PKD1
NM_000297	475	423	458	452	416	451	495	545	496	5079	PKD2
NM_000298	36	29	23	31	27	29	52	53	38	3043	PKLR
NM_000299	20	26	10	52	58	56	68	53	53	5447	PKP1
NM_000301	2	0	0	1	1	1	1	0	1	3537	PLG
NM_000302	1719	1585	1558	2088	1917	2217	2261	2295	2373	3031	PLOD1
NM_000303	1043	845	878	1030	921	1121	835	855	938	2323	PMM2
NM_000304	549	556	560	2397	2180	2570	2913	2789	3005	1828	PMP22
NM_000305	1664	1633	1545	3258	2732	3344	2984	3054	3004	1654	PON2
NM_000308	2602	2323	2390	1978	1903	2024	2651	2504	2584	2240	CTSA
NM_000309	174	151	138	158	134	168	221	196	203	1707	PPOX
NM_000310	1820	1799	1661	1637	1488	1736	1422	1424	1528	2504	PPT1
NM_000311	5184	5203	4890	3632	3117	3634	4166	4042	4140	2740	PRNP
NM_000312	53	49	44	12	15	13	14	14	18	1780	PROC
NM_000313	2	6	8	39	33	31	58	53	44	3580	PROS1
NM_000314	889	879	798	827	657	852	758	787	745	5547	PTEN
NM_000316	5	3	2	26	26	29	39	53	37	2128	PTH1R
NM_000317	599	604	491	625	560	690	612	689	649	934	PTS
NM_000318	296	307	256	268	247	300	343	362	337	4379	PEX2
NM_000319	1960	1905	1796	1275	1187	1387	1170	1144	1148	3172	PEX5
NM_000320	821	762	825	1031	877	1059	863	865	916	1653	QDPR
NM_000321	2438	2483	2438	2063	1758	2042	2694	2541	2482	4772	RB1
NM_000322	0	0	1	0	0	0	0	0	0	3027	PRPH2
NM_000324	0	0	0	0	0	0	0	0	0	1928	RHAG
NM_000325	47	33	33	7	9	6	22	18	33	2314	PITX2
NM_000326	3	7	5	75	60	60	52	39	55	1752	RLBP1
NM_000327	63	47	61	52	46	53	47	41	55	1878	ROM1
NM_000328	355	356	292	372	342	350	324	372	359	3072	RPGR
NM_000329	0	2	1	0	1	0	0	2	3	2608	RPE65
NM_000331	39760	40168	37418	6976	6349	7200	1959	2043	2005	677	SAA1
NM_000332	706	582	675	825	653	828	756	810	790	10636	ATXN1
NM_000333	383	345	361	439	376	457	549	601	570	7225	ATXN7
NM_000334	1	3	4	29	17	22	14	25	12	7805	SCN4A
NM_000335	385	373	345	749	582	738	916	954	823	8501	SCN5A
NM_000336	1	0	1	0	0	0	0	0	0	2597	SCNN1B
NM_000337	0	0	0	0	0	0	0	0	0	9789	SGCD
NM_000339	1	0	3	2	0	1	1	2	1	5567	SLC12A3
NM_000340	0	1	0	0	0	0	0	0	0	3439	SLC2A2
NM_000341	183	199	184	248	170	219	171	218	179	2320	SLC3A1
NM_000343	72	52	71	6	2	2	4	3	3	5056	SLC5A1
NM_000344	800	883	725	892	860	968	782	752	824	1624	SMN1
NM_000344_2	854	832	810	930	840	992	783	770	863	1624	SMN1
NM_000346	2057	1927	2075	2145	1796	2077	3520	3319	3076	3934	SOX9
NM_000347	91	100	67	1314	1121	1295	394	406	365	6726	SPTB
NM_000349	0	1	1	2	1	2	1	5	0	2695	STAR
NM_000350	2	1	0	20	21	17	24	19	13	7325	ABCA4
NM_000352	1	3	3	6	9	6	28	34	25	4978	ABCC8
NM_000355	85	86	95	171	137	162	198	244	195	2072	TCN2
NM_000356	5787	5300	5381	4804	4623	5209	4535	4075	4717	4865	TCOF1
NM_000358	7974	7412	7482	6857	6033	6918	4916	4342	4769	2805	TGFBI
NM_000359	14	17	15	29	20	18	31	43	38	2777	TGM1
NM_000360	57	42	50	12	24	14	26	20	17	1817	TH
NM_000362	3192	3182	2982	719	590	760	888	894	863	5486	TIMP3
NM_000363	86	124	95	87	79	77	115	105	98	841	TNNI3
NM_000364	1	0	3	3	3	6	8	7	10	1153	TNNT2
NM_000365	30770	29448	27707	22636	19724	23217	21785	21170	22913	1351	TPI1
NM_000366	1584	1581	1553	637	538	593	793	724	795	1288	TPM1
NM_000367	602	663	601	787	690	785	553	577	586	3247	TPMT
NM_000368	521	487	510	770	554	751	723	823	778	8616	TSC1
NM_000369	0	0	0	0	0	0	0	0	0	4400	TSHR
NM_000370	30	43	40	114	98	132	137	101	108	2632	TTPA
NM_000373	1358	1316	1264	1326	1236	1356	1284	1261	1350	6737	UMPS
NM_000374	1542	1464	1405	1597	1458	1633	1337	1405	1439	1408	UROD
NM_000375	630	654	625	348	330	376	475	471	487	1354	UROS
NM_000376	2355	2296	2254	2251	1939	2305	2138	2134	2225	4653	VDR
NM_000377	12	10	5	29	31	24	39	33	23	1830	WAS
NM_000378	508	446	495	172	153	190	129	104	134	2966	WT1
NM_000379	203	158	176	4	10	5	5	8	5	5717	XDH
NM_000380	379	369	371	642	507	692	600	556	631	1469	XPA
NM_000381	918	837	836	1228	1054	1207	969	972	979	6463	MID1
NM_000382	2243	2147	2063	1422	1144	1476	1310	1344	1330	3702	ALDH3A2
NM_000386	1178	1144	1136	849	673	822	1093	1059	1094	2537	BLMH
NM_000387	337	322	314	200	190	212	197	238	264	1892	SLC25A20
NM_000389	1024	885	977	1543	1223	1432	1749	1789	1696	2159	CDKN1A
NM_000390	701	719	724	844	662	808	811	838	841	5442	CHM
NM_000391	1334	1344	1432	1900	1672	1940	1573	1701	1579	3533	TPP1
NM_000392	3	7	9	4	2	3	2	5	4	5051	ABCC2
NM_000393	8	8	9	1	2	4	2	7	3	6930	COL5A2
NM_000394	2	0	0	0	0	0	0	0	0	1114	CRYAA
NM_000396	26	20	27	31	22	29	26	46	35	1810	CTSK
NM_000397	1	3	5	6	7	6	3	1	3	4318	CYBB
NM_000398	1799	1618	1638	1775	1603	1840	2017	1777	1822	2923	CYB5R3
NM_000399	14	9	11	27	16	17	65	89	58	2979	EGR2
NM_000400	1371	1268	1235	1093	957	1092	844	845	888	2568	ERCC2
NM_000401	2481	2482	2314	2820	2304	2852	2434	2388	2392	3455	EXT2
NM_000402	4925	4765	5091	4127	3891	4064	3057	3057	3339	2395	G6PD
NM_000403	851	859	765	1388	1202	1404	1352	1310	1350	1631	GALE
NM_000404	899	820	885	1128	964	1142	1441	1470	1455	2588	GLB1
NM_000405	450	431	412	560	473	563	632	653	624	3688	GM2A
NM_000406	1	1	0	2	3	1	2	2	2	5837	GNRHR
NM_000407	3	6	2	5	6	4	2	8	6	958	GP1BB
NM_000408	2202	2120	2094	2466	2003	2501	1786	1876	1909	5803	GPD2
NM_000410	57	63	49	69	53	55	71	75	65	2222	HFE
NM_000411	738	675	650	1176	970	1199	909	1045	882	6019	HLCS
NM_000412	2	2	3	0	2	3	1	3	1	1952	HRG
NM_000413	94	77	65	92	104	120	136	97	103	2231	HSD17B1
NM_000414	1810	1874	1769	1531	1375	1650	1450	1415	1442	2685	HSD17B4
NM_000416	822	798	797	433	417	454	469	443	484	2120	IFNGR1
NM_000417	1	2	2	0	1	0	2	4	0	3216	IL2RA
NM_000418	315	263	267	183	141	167	182	173	188	3689	IL4R
NM_000419	20	19	14	30	21	25	33	27	30	3334	ITGA2B
NM_000421	476	448	453	593	516	601	592	563	610	2140	KRT10
NM_000422	36	30	24	11	4	7	50	43	33	1574	KRT17
NM_000423	2	0	0	0	0	0	0	0	0	2414	KRT2
NM_000424	32895	32186	33210	69671	61704	70037	110852	108828	109413	2303	KRT5
NM_000425	3177	2892	2955	1787	1532	1738	2629	2642	2596	5029	L1CAM
NM_000426	9	5	4	0	1	2	6	5	7	9692	LAMA2
NM_000428	1144	955	914	5184	4486	5352	4528	4652	4645	8554	LTBP2
NM_000430	3355	3271	3300	3864	3289	3933	3733	4090	4032	5614	PAFAH1B1
NM_000431	272	268	241	223	208	229	302	229	229	2073	MVK
NM_000432	8	8	5	9	8	20	1	8	7	829	MYL2
NM_000433	9	7	3	50	35	36	17	24	14	2412	NCF2
NM_000434_3	0	0	0	0	0	0	0	0	0	2071	NEU1
NM_000434_4	0	0	0	0	0	0	0	0	0	2071	NEU1
NM_000434_5	0	0	0	0	0	0	0	0	0	2071	NEU1
NM_000434_6	0	0	0	0	0	0	0	0	0	2071	NEU1
NM_000435	18	10	5	4	12	7	8	12	7	8071	NOTCH3
NM_000436	1069	1056	1008	1642	1401	1595	1270	1328	1317	3558	OXCT1
NM_000437	185	174	159	402	357	434	233	242	257	3581	PAFAH2
NM_000440	20	23	15	35	15	32	6	15	11	5642	PDE6A
NM_000441	4	5	9	113	93	119	96	93	115	4928	SLC26A4
NM_000442	4	3	4	0	0	0	0	0	0	4453	PECAM1
NM_000443	14	14	18	119	81	107	237	245	226	3967	ABCB4
NM_000444	2	1	5	2	1	2	3	2	1	2861	PHEX
NM_000445	17730	13919	13650	9253	8515	10065	11485	10280	10711	14798	PLEC
NM_000447	299	265	289	379	319	390	347	368	344	2298	PSEN2
NM_000448	42	34	50	91	76	91	55	47	51	6580	RAG1
NM_000449	886	832	815	719	635	718	697	759	683	3618	RFX5
NM_000453	1	3	4	0	0	0	0	0	1	3576	SLC5A5
NM_000454	5378	5535	5188	7396	6391	7471	5921	5935	6297	965	SOD1
NM_000455	1053	881	826	597	576	678	783	651	692	3276	STK11
NM_000456	243	213	185	394	280	381	339	316	314	2462	SUOX
NM_000457	117	115	119	135	122	151	172	200	193	4722	HNF4A
NM_000458	0	1	0	6	4	1	9	10	7	2836	HNF1B
NM_000459	2	0	0	0	2	1	0	0	0	4759	TEK
NM_000461	11	12	17	1	0	0	1	1	0	7401	THRB
NM_000462	1588	1551	1431	1853	1594	1937	1782	1708	1758	5276	UBE3A
NM_000463	29	32	23	495	398	477	169	150	161	2357	UGT1A1
NM_000465	379	326	318	403	354	425	356	328	371	2594	BARD1
NM_000466	903	880	867	1045	893	1022	859	985	985	4382	PEX1
NM_000476	861	830	808	853	781	892	876	858	901	2266	AK1
NM_000477	1	0	0	0	0	1	1	2	2	2247	ALB
NM_000479	178	114	106	154	130	115	289	258	212	2018	AMH
NM_000480	398	354	377	483	426	503	626	684	664	4371	AMPD3
NM_000481	31	23	32	29	28	25	41	38	50	2202	AMT
NM_000484	10233	9968	9888	7929	6909	8094	6486	6669	6619	3633	APP
NM_000485	1857	1832	1801	1822	1685	1843	1876	1702	1886	807	APRT
NM_000486	1	0	1	0	0	0	0	0	0	4179	AQP2
NM_000487	297	247	272	239	215	266	302	341	286	4315	ARSA
NM_000488	1	0	2	1	0	1	0	1	2	1599	SERPINC1
NM_000489	2058	1868	2035	2370	1934	2413	2346	2483	2446	11184	ATRX
NM_000492	1	0	0	1	0	0	2	2	1	6131	CFTR
NM_000493	2	1	2	0	2	3	2	1	1	3290	COL10A1
NM_000494	14	13	10	4	2	2	0	0	0	5610	COL17A1
NM_000495	6	4	10	5	1	1	5	10	7	6507	COL4A5
NM_000496	43	43	56	32	18	25	26	26	37	763	CRYBB2
NM_000499	26	28	19	3	7	2	5	9	5	2608	CYP1A1
NM_000500_7	0	0	0	0	0	0	0	0	0	2131	CYP21A2
NM_000501	1	0	0	0	0	0	0	1	0	3472	ELN
NM_000502	1	0	0	2	1	1	0	0	2	2717	EPX
NM_000503	9	6	5	0	0	0	0	0	0	4326	EYA1
NM_000504	3	3	5	61	43	71	84	108	85	1536	F10
NM_000505	507	391	386	626	589	677	616	499	533	2051	F12
NM_000507	13	11	9	5	6	8	7	10	10	1590	FBP1
NM_000509	2	1	0	0	0	0	1	0	0	1661	FGG
NM_000511	55	55	68	8	7	7	16	14	13	3099	FUT2
NM_000512	430	381	419	319	302	353	423	362	372	2363	GALNS
NM_000513_2	1	0	0	1	0	0	0	0	0	1998	OPN1MW
NM_000516	17592	16974	16870	14667	12974	14978	19831	19979	20011	1907	GNAS
NM_000517	6	8	4	26	30	41	65	42	52	605	HBA2
