Name	Description	sw480.1	sw480.2	sw480.3	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3
NM_001145210	ANKRD65	0.264468402	0.06580203	0.217237085	0.043344792	0.046356019	0.04693868	0.043366157	0.024590805	0.062621698
NM_001146685	TMEM88B	0.68733114	0	0.290355861	0	0	0	0	0	0
NM_022834	VWA1	2.021971464	1.506672025	1.461563945	0.774940491	0.654297471	0.563143313	0.65290314	0.613191962	0.874060333
NM_001039211	ATAD3C	1.264386058	1.196065545	1.246295691	0.910970747	1.105913639	1.146476388	1.243964791	1.131419182	1.304253578
NM_031921	ATAD3B	19.55812454	18.79303551	20.1590271	24.21179771	22.15592957	22.26525688	16.25334167	18.87603378	16.62471771
NM_018188	ATAD3A	28.53659821	23.36736107	27.0125351	35.36909103	31.54746056	32.52726364	28.52477074	29.9053936	30.31350899
NM_001114748	TMEM240	0	0	0	0	0	0	0.042550858	0	0
NM_014188	SSU72	41.15396118	38.92840195	41.95386124	52.1726265	52.91175079	55.82727814	43.91810226	45.05020142	42.91122437
NM_001242659	C1orf233	4.763891697	3.498353481	3.738349199	0.591265321	0.802587152	0.788048565	2.229713917	2.21908164	2.518857002
NM_080875	MIB2	5.05093956	4.479531765	3.951553583	4.084538937	3.652931929	3.267314672	3.346131563	3.068177938	3.4131639
NM_006983	MMP23B	0.233755946	0.038773667	0.076803811	0.038311206	0.040972739	0.041487738	0.076660171	0.043470196	0.073799334
NR_002946	MMP23A	0.213287234	0.05306771	0.105117798	0.052434757	0.05607748	0.056782331	0.104921207	0.059495632	0.101005703
NM_033489	CDK11B	21.58471107	23.02038956	21.90444756	18.37527847	18.41216469	19.65191078	20.57068443	21.66902351	19.94943619
NM_001110781	SLC35E2B	7.596906185	7.68885088	7.281968594	4.526631832	4.595663071	5.18475771	5.431468487	5.181085587	5.274507523
NM_024011	CDK11A	18.16895485	17.18557358	16.53138542	13.45427513	14.0988636	14.68732262	15.17970562	16.98961449	15.15316296
NM_182838	SLC35E2	4.728104115	5.19446373	4.335132122	3.132339716	2.86561799	3.122324705	3.352877617	3.211572886	3.48219347
NM_001198994	NADK	15.31411743	13.88549328	14.36502552	15.93066502	15.27106571	15.57567501	12.55564785	14.43120098	14.0911665
NM_002074	GNB1	102.545166	103.6069641	103.2308273	99.89303589	100.4398117	98.77465057	96.27577209	94.03635406	95.53268433
NM_138705	CALML6	0.087755784	0.26201281	0.129750326	0.043147951	0.046145502	0.093451038	0.086338438	0.048958261	0.083116412
NM_178545	TMEM52	3.782063723	2.961045265	2.535007	5.206804276	5.621562481	4.671917439	3.373687744	3.54477191	3.96421051
NM_001080484	KIAA1751	0.092311256	0.091871358	0.030330168	0.040344708	0.010786878	0.021844923	0.080729179	0.022888765	0.048572809
NM_000815	GABRD	0.577205181	0.324691683	0.371052206	0.049356773	0.105571322	0.080173708	0.123452745	0.140007898	0.142614827
NM_002744	PRKCZ	9.969298363	9.198327065	8.434551239	9.211159706	9.064734459	8.293980598	8.010098457	8.64395237	8.380000114
NR_046424	C1orf86	6.094436646	4.42464447	4.875054836	6.019628048	4.860341072	5.022162914	4.586744308	4.975665569	4.953122139
NM_003036	SKI	11.74937248	9.747293472	10.32968903	11.47899532	10.2021904	10.4746542	7.920163631	8.169989586	7.672699928
NM_024848	MORN1	1.884102345	2.080215454	1.857145309	2.402796507	1.79570961	1.78693068	1.419217587	1.773774743	1.812378407
NR_024489	LOC100129534	0.945560813	0.769954026	0.932032049	0.676240504	0.745820582	1.029811263	0.570859134	0.791281343	0.712386847
NM_007033	RER1	30.66038322	29.460989	28.6262455	33.18066406	31.88481712	32.74964905	28.74114418	28.94857216	30.10080528
NM_153818	PEX10	15.00065517	13.5614357	13.52324963	17.93496513	16.06984901	16.5198822	12.37503719	13.33281708	12.92804909
NM_014638	PLCH2	0.089887545	0.059639465	0.039378431	0.009821355	0.052518293	0	0.019652393	0.044575602	0.03783799
NM_018216	PANK4	7.350659847	6.915272713	6.903040886	8.001560211	7.922843933	7.788764954	6.890130997	6.487951756	6.459815979
NM_001010926	HES5	0	0	0	0	0	0	0.036393039	0	0.035034902
NR_026927	LOC115110	1.049732327	1.001199484	0.819147885	1.182808399	1.080982804	1.02470386	0.645486236	0.854054511	0.869956732
NR_037844	LOC100133445	1.8561306	2.346551657	2.076813459	3.453180313	2.532396317	4.006604195	2.072929382	2.182989359	2.185625076
NM_003820	TNFRSF14	4.417521477	4.650112629	4.717176914	6.098352909	5.36055994	5.729490757	3.761111736	4.170692921	3.728034258
NM_001195736	FAM213B	18.71589851	17.52202415	17.89265633	20.26850891	18.24641228	18.45757103	15.40628433	17.31985283	16.51341629
NM_033467	MMEL1	2.596930265	2.302904606	2.494138956	2.799278975	2.398500919	2.605921745	1.703324556	1.87601912	1.828962207
NM_001242672	TTC34	0.081649959	0	0	0	0.02862321	0.028982984	0.053554151	0	0
NR_015440	FLJ42875	0.130284682	0.168562979	0.115578562	0.128117293	0.095912457	0.166488022	0.140998498	0.130832627	0.061698474
NM_022114	PRDM16	0.47628364	0.358266383	0.436715484	0.93672055	0.862010479	0.943616569	0.697438002	0.655018091	0.676656067
NM_014448	ARHGEF16	1.730094433	1.67218101	1.75453341	15.36089325	14.20614052	13.72924042	1.603950381	1.744795322	1.54409337
NM_001409	MEGF6	6.325246811	6.359735966	5.549821377	11.76312065	9.937225342	10.30417252	5.379712105	5.470735073	5.431130409
NR_030277	MIR551A	0	0	0	0	0	0	0	0	0
NM_182752	TPRG1L	9.395183563	11.29181194	10.3791151	15.73742771	14.77922344	14.68942738	9.87011528	10.30531979	10.51982498
NM_017818	WRAP73	12.28353691	12.22500134	12.55622482	14.90326118	12.79873562	13.71659374	11.38577271	12.34154415	12.44207191
NM_005427	TP73	4.095463276	3.440248489	3.731324196	2.12451005	2.133800983	2.260650158	3.012746334	2.725022554	2.900315046
NR_033711	TP73-AS1	0.06030215	0.097524025	0.044579528	0.022237116	0.015854642	0.016053922	0.111240387	0.067284182	0.028557083
NM_152492	CCDC27	0.022221508	0	0.065710716	0.021851836	0.023369916	0	0	0	0.042093456
NM_001163724	SMIM1	3.981556892	3.082009315	1.744262338	0.348028511	0.465258211	0.376884937	3.394950628	3.060429335	2.262638807
NM_020710	LRRC47	22.0932312	21.06194878	22.28064728	23.64530373	23.46524811	22.57509422	21.35947037	21.92355537	21.91015244
NM_014704	CEP104	5.393495083	5.06999588	4.593719482	4.928607464	4.602295399	4.795566082	4.56304884	4.665809631	4.867464542
NM_004402	DFFB	2.472913265	2.588154793	2.43753171	3.592750549	3.909459591	3.754722357	2.417276382	2.242993116	1.964407563
NM_207356	C1orf174	14.06370735	13.0731945	14.66279697	12.40399933	11.1615057	11.14740181	14.15038204	14.33316231	15.46242237
NR_024455	LOC100133612	0.19799	0.517247081	0.317130476	0.146022215	0.208222121	0.184484407	0.170443207	0.165685579	0.187522888
NR_040065	LOC728716	0	0	0	0	0	0	0	0	0
NR_027088	LOC284661	0	0	0.045919351	0	0	0	0	0.025989896	0
NM_018836	AJAP1	0.016527388	0.016448628	0.01629092	0	0	0	0	0	0
NR_039838	MIR4689	0	0	0	0	0	0	0	0	0
NM_015102	NPHP4	2.336313486	2.478910923	2.055468798	2.382889509	2.264144897	2.292603731	2.659513474	2.283661842	2.368244648
NM_001199860	KCNAB2	1.951787353	1.695464849	1.223264813	1.264752865	1.328886986	1.393646955	5.727492332	5.161197662	5.13975668
NM_015557	CHD5	0.054993805	0.074634194	0.088702329	0.073744014	0.021031231	0.03726726	0.063942976	0.055782925	0.052086454
NM_000983	RPL22	188.7895813	194.2313232	199.4490051	238.4864044	259.3187256	252.8813782	214.3947906	208.1407166	214.2063599
NM_207396	RNF207	3.649677277	3.511208773	3.41758585	5.921787262	4.989779949	5.985267162	2.573357105	2.701260567	2.269919634
NM_012405	ICMT	25.26344109	23.38563347	23.35920525	26.22443581	25.23954773	24.74478531	24.35198402	23.55389404	23.14862061
NM_001024598	HES3	0	0.137960806	0	0	0	0	0	0	0
NM_207370	GPR153	9.349473953	8.256644249	8.270804405	3.374989986	3.248510122	3.188518763	8.022463799	7.870214462	7.81275034
NM_007274	ACOT7	61.23671722	56.60311127	59.27892685	54.37516785	54.40907669	53.83890533	52.95370483	57.21785736	53.05619812
NM_019089	HES2	1.372172952	1.230199099	1.386074305	1.39395225	1.514644742	1.594063997	1.439267755	1.37920928	1.342593431
NM_031475	ESPN	0.478854328	0.503805101	0.323659241	2.677335978	2.762614012	2.826477051	0.524962604	0.412172824	0.310998052
NM_148965	TNFRSF25	1.757776618	2.040966749	1.819258213	2.44875741	1.848618507	2.37101531	1.124101162	1.340221167	1.276383758
NM_198681	PLEKHG5	2.977547407	3.063656569	2.989129305	3.603708982	3.574644566	3.882994413	1.974003196	2.18760705	2.221397638
NM_024654	NOL9	3.548363209	3.187620401	3.228002787	3.786598921	3.678756475	3.878287554	2.733360291	2.858981371	2.781328917
NM_138697	TAS1R1	0	0	0.017036982	0	0	0	0	0	0.016370513
NM_005341	ZBTB48	3.67797327	4.256811142	3.584615946	3.9012537	3.781128407	4.246726036	3.679557085	3.850217104	3.600952864
NM_014851	KLHL21	12.98447227	11.37959957	12.66073322	20.33849335	19.47552109	19.29609871	12.72179604	13.21447468	12.48157692
NM_153812	PHF13	8.306084633	8.672622681	8.109394073	4.414034843	4.60993576	4.850108624	6.0998106	6.256865501	6.68255949
NM_138350	THAP3	14.89640808	12.23211956	13.27404499	16.73477364	15.42374325	16.28062057	13.70296001	14.64001369	14.61120987
NM_018198	DNAJC11	22.97381401	20.52826118	22.19683838	26.65985298	25.75024033	27.26120949	23.46876907	23.45674515	24.05190468
NM_015215	CAMTA1	1.762120247	1.599987507	1.579007745	0.978922963	1.040913343	0.962609768	1.491623163	1.678884387	1.571425676
NM_004781	VAMP3	49.01065445	47.38159561	46.84092331	48.3676796	51.49744034	48.69174194	49.36150742	43.39134216	47.93442917
NM_016831	PER3	1.830202579	1.767224073	1.65048337	3.139999151	3.218899965	3.193010807	2.344666719	2.024731398	2.013747454
NM_021995	UTS2	0	0	0	0	0.080135956	0	0	0	0
NM_001561	TNFRSF9	0.137036964	0.216609761	0.127130628	0.65793246	0.762983084	0.806909859	0.182408482	0.071954675	0.129792243
NM_007262	PARK7	210.4808807	215.5815887	215.8930359	234.612854	249.3257294	238.3805084	217.3192139	219.8750458	224.9213257
NM_018948	ERRFI1	7.210151672	7.344815254	7.791819572	39.83875275	40.51181412	40.9552536	8.506363869	8.785731316	7.896457672
NM_001080397	SLC45A1	0.402411997	0.38046962	0.198327214	0.37593168	0.380887777	0.364248872	0.1385694	0.202052221	0.171511978
NM_012102	RERE	19.49715805	20.58950806	17.27139091	8.058724403	7.750518322	8.563668251	14.54185677	14.16319847	13.92658424
NM_001201483	ENO1	617.869812	616.678894	662.4181519	722.4994507	747.3491821	779.9434204	733.7220459	754.9174194	735.5704346
NR_038351	ENO1-AS1	1.08317399	0.646807313	1.17444396	0.852123618	0.569576204	0.46138829	0.319703847	0.725153029	0.307772994
NM_207420	SLC2A7	0	0	0	0	0	0	0	0	0.029730726
NM_003039	SLC2A5	0	0	0.019531732	0.0194856	0	0	0	0	0.018767674
NM_024980	GPR157	1.340768337	1.250980377	0.536893964	1.071251631	1.586316705	1.293928027	0.948112845	0.607753277	0.79367888
NR_029610	MIR34A	0	0	0	0	0	0	0	0	0
NM_004285	H6PD	7.93941021	7.690585136	7.162345409	4.284130096	4.481424332	4.148318768	7.701677799	6.765231133	7.745569706
NM_025106	SPSB1	5.409058571	4.365240574	4.017847061	4.023598194	3.960829496	4.093137264	4.818499088	4.184965134	4.44784832
NM_032315	SLC25A33	10.25048828	9.938372612	10.56013012	11.25053978	10.98888397	9.788948059	12.32964325	10.7732296	12.18269825
NM_001010866	TMEM201	5.477638721	4.750096321	5.569898129	5.666174889	5.474637508	5.714625359	4.720084667	5.449629307	4.836718082
NM_005026	PIK3CD	1.651685119	1.865951419	1.575251698	2.115860224	1.896664619	1.796907425	2.433121204	2.211509228	2.291584492
NR_027045	C1orf200	0	0	0	0	0	0	0	0	0
NM_001009566	CLSTN1	22.11706924	20.75227547	20.19561577	34.73273849	35.58978271	36.443367	17.37492752	18.2929821	17.68710709
NM_020248	CTNNBIP1	3.742176294	3.852769136	3.799929619	18.30444145	19.11805916	18.87740517	3.824562073	4.355437756	4.292928219
NM_032368	LZIC	10.67823315	10.55900383	10.8638916	11.04081535	10.61622047	10.09151649	10.33686543	9.232860565	9.3982687
NM_022787	NMNAT1	2.5426085	2.683084488	2.24175334	2.538003445	2.391828537	2.245012283	3.029506445	2.608901501	3.182681561
NM_052960	RBP7	11.7270546	12.84562778	12.94056416	1.885730028	1.551334381	2.042083502	18.14095879	16.37664986	15.50800037
NM_001105562	UBE4B	15.06232738	14.44261265	14.33653641	8.88866806	9.264202118	9.634413719	13.89741135	13.67976475	14.11037159
NM_015074	KIF1B	6.177377224	6.234274864	6.521028996	4.094638824	4.191835403	4.293143749	5.713758469	5.613945007	5.811880112
NM_002631	PGD	83.89951324	85.75845337	81.96160126	68.99022675	69.03557587	71.41716766	90.51915741	89.77346802	89.71590424
NM_001270517	APITD1-CORT	7.23351717	7.038352966	7.480157375	6.795629025	7.607345104	7.874904633	7.21200037	6.485660076	6.667592049
NR_036462	APITD1	12.55846024	12.633008	12.17912006	12.18355179	13.27848816	13.80489254	11.49206161	12.35513496	11.12714481
NM_001302	CORT	0.549418271	0.507742882	1.005749345	0.810417354	0.742901385	0.919403374	0.849427164	0.788184285	0.557541668
NM_213566	DFFA	11.40464497	10.25919437	10.27310467	11.6349535	11.15550137	11.82639027	11.58465576	12.12143326	11.70523167
NM_004565	PEX14	9.882640839	9.31131649	9.048973083	8.879606247	9.364589691	8.574132919	8.43978405	9.543581963	8.481175423
NM_001079843	CASZ1	3.016691923	2.833171606	2.67438221	1.832429886	1.563955069	1.480193257	2.01845789	2.322998285	2.322560072
NM_001170754	C1orf127	0.104982749	0.121896207	0.137974262	0.034412093	0.018401375	0.055898003	0.275432438	0.234276175	0.265153706
NM_007375	TARDBP	54.3697319	55.79803467	56.70842743	51.44876099	55.21574402	56.37334824	59.16085815	59.00318909	59.64393234
NM_006610	MASP2	0.295170426	0.254595309	0.252154261	0.193506703	0.144864917	0.377191991	0.251682699	0.241520762	0.223652557
NM_003132	SRM	64.40010071	53.25363159	62.24427032	84.78663635	81.13825226	83.93624878	73.88884735	77.82701874	72.56915283
NM_001001998	EXOSC10	26.34910583	26.68600655	28.39798546	25.53843689	25.73794556	25.65825272	25.99126816	27.07634163	27.56419563
NM_004958	MTOR	10.55335426	10.86675835	11.13369179	9.991209984	10.05642414	10.87858295	10.61714745	10.24930096	10.57753754
NR_046600	MTOR-AS1	0	0	0	0	0	0	0	0	0.06480962
NM_021146	ANGPTL7	0	0.021483175	0	0	0.022701608	0	0	0	0.020444855
NM_013319	UBIAD1	5.817243099	5.736889362	5.83826685	7.592621803	7.007750988	7.236623764	5.853363037	5.295892715	5.371961117
NM_020780	PTCHD2	0.157511026	0.129096821	0.100460678	0.045556091	0.009744188	0	0.091157086	0.082705088	0.052653145
NM_012168	FBXO2	6.929534435	5.915301323	6.136244297	13.15760899	12.85707855	12.77870655	4.26793766	4.148805618	4.402140617
NM_001014765	FBXO44	3.710523367	4.416927814	3.600063086	4.235465527	3.596221924	3.951332092	3.564697981	3.63683176	2.907960415
NM_018438	FBXO6	1.434628606	1.427791953	1.383361101	1.257418752	0.983980596	0.929925263	1.718296409	1.496340036	1.270167947
NM_001127325	MAD2L2	58.66760254	56.96901703	61.25904465	43.95944977	46.9251709	45.63939667	59.6591835	62.46577072	62.0401268
NM_198545	DRAXIN	0.790173292	0.786407828	0.913155317	0.455499232	0.429832458	0.522282183	0.857832968	0.942467213	0.851626754
NM_001040197	AGTRAP	26.00412941	24.45285416	24.0323925	22.89932442	17.98063087	21.90422821	20.94260216	20.38208771	20.48277473
NM_005957	MTHFR	1.952652097	2.044212818	1.618358493	1.076357245	0.994806647	0.985725462	1.395965695	1.409771919	1.395065427
NM_001286	CLCN6	3.331986427	3.543932199	3.075387716	2.117672443	1.979462266	2.094628334	2.952856302	2.57311821	2.74629879
NR_037806	NPPA-AS1	2.092833042	2.256431341	2.091540813	1.457762122	1.100495219	1.052420616	2.030433893	2.108121395	1.679356694
NM_006172	NPPA	0.452548563	0.056299001	0.05575921	0	0.118984066	0.060239807	0.111309856	0	0.053577971
NM_002521	NPPB	0.622902632	0.826578975	0.682211459	0.068060018	0	0	0.068093561	0	0
NM_138346	KIAA2013	19.38885307	17.44004631	18.92589569	24.87201881	24.35026169	22.61529922	15.08546257	14.68347168	15.31669521
NM_000302	PLOD1	36.03692245	36.40452194	37.28089142	26.94247246	26.56807137	26.44374466	32.74206543	34.09176254	33.46754837
NM_014874	MFN2	40.26313019	40.69833755	43.1690979	43.01634979	42.13753128	43.08515549	47.01102829	48.05979919	48.63182068
NM_021933	MIIP	16.04059792	15.00310516	14.38333702	13.00411224	11.50967789	12.51128292	14.11892223	14.69538784	15.09095955
NM_001243	TNFRSF8	0.039318688	0.065218858	0.077512257	0.335093111	0.220536932	0.293092966	0.090261839	0.087742336	0.186200157
NM_001066	TNFRSF1B	59.04940414	55.07865143	58.0620079	48.64345169	44.99977493	47.23122406	47.41291046	48.608078	47.18739319
NR_039775	MIR4632	7.432239532	8.629626274	7.936393738	7.308598518	9.11906147	5.276389122	3.046750307	4.146387577	8.21254158
NM_015378	VPS13D	3.464631319	3.542347908	3.645452976	3.340076447	3.379197359	3.204272509	3.562951803	3.146105051	3.69059968
NR_003022	SNORA59B	0	0.316311479	0	0	0	0	0.312692821	0.354625285	0.301023602
NR_003025	SNORA59A	0	0.316311479	0	0	0	0	0.312692821	0.354625285	0.301023602
NM_004753	DHRS3	5.028902054	5.084803581	4.66691637	49.11046219	49.51213074	51.4447937	6.395139694	7.22288847	7.397912979
NM_001103170	AADACL3	0	0	0	0	0	0	0.01173853	0	0
NM_023013	PRAMEF1	0	0	0	0	0	0	0	0	0
NM_001146181	LOC649330	0.048213135	0	0	0	0	0	0.047434442	0	0
NM_001013631	HNRNPCL1	0.043600682	0	0	0	0	0	0.042896487	0	0
NM_001009611	PRAMEF4	0	0.026130078	0	0	0	0	0.025831144	0	0
NM_001136561	LOC440563	0	0	0.041192356	0	0	0	0	0.046628926	0.039580956
NM_001012276	PRAMEF8	0	0.026087545	0	0	0	0	0	0	0
NM_001010890	PRAMEF9	0	0	0	0	0	0	0	0	0
NM_001098376_2	PRAMEF15	0	0	0	0	0	0	0	0	0
NM_001099854_2	PRAMEF14	0	0	0	0	0	0.024497522	0	0	0
NM_001010847	LRRC38	0	0	0	0	0	0	0	0	0
NM_006474	PDPN	0	0	0	0	0	0	0	0	0
NM_012231	PRDM2	3.460657358	3.631480217	3.500910282	2.453804493	2.637043953	2.760704756	3.333084822	3.197465897	3.105192661
NM_201628	KAZN	0.762107015	0.57484442	0.498166233	0.662652791	0.615883827	0.649253488	0.962898612	0.841395915	0.866180122
NR_027136	C1orf126	0.152286902	0.103337184	0.129638761	0.197402328	0.101918146	0.140056044	0.258792639	0.20081374	0.203241602
NM_001136216	TMEM51	7.236848831	6.916175365	6.826243401	8.671710014	8.014073372	7.553402424	8.086583138	8.769939423	7.671322823
NM_052929	FHAD1	0.284732163	0.188916862	0.224526659	1.679972529	1.62699604	1.586804032	0.336160123	0.28592971	0.260689974
NM_024329	EFHD2	47.03142548	38.32037354	41.92935944	169.6190186	145.6346436	143.849762	39.8271637	42.09295273	41.25379562
NM_007272	CTRC	0	0	0	0.105686076	0	0.057224464	0	0	0.05089609
NM_033440	CELA2A	0.052510392	0	0	0	0	0	0	0	0
NM_015849	CELA2B	0	0	0.05159086	0.051469006	0	0	0	0	0
NM_001229	CASP9	5.600784779	5.907208443	5.146742344	3.0500319	3.07418561	3.350446224	4.412651539	4.730521202	4.33251524
NM_015291	DNAJC16	1.972473383	2.138633013	2.347328424	1.955429196	2.12500596	2.313948393	1.893283486	2.209800959	2.133994818
NM_024758	AGMAT	3.185918808	2.987809658	2.732696295	2.53043437	2.706227303	2.74024272	3.782452822	3.298442364	3.510733128
NM_032341	DDI2	5.299630642	5.059094906	5.152733326	6.257306099	6.407647133	6.910494804	6.278125286	5.812678814	6.129199505
NM_006511	RSC1A1	6.30577898	5.757073879	6.549451351	7.635790825	8.138856888	8.740620613	8.254820824	7.326627254	7.354457855
NM_015164	PLEKHM2	13.40760136	12.78383255	12.02588844	14.40620136	13.78003979	13.64123249	12.36084747	13.75691319	12.58778095
NM_207348	SLC25A34	0.141624108	0.172271267	0.124086946	0.061896931	0.066197	0.134058103	0.154818594	0.105347969	0.059616402
NM_001013641	TMEM82	0	0	0	0	0	0	0	0	0
NM_017556	FBLIM1	1.09630537	1.249000549	1.0948385	1.787322402	1.699102402	1.920155048	1.163751364	0.917430103	0.901722491
NM_001089591	UQCRHL	0.538768291	0.446834058	0.885099709	0.264902741	0.566611886	1.529956818	0.706755519	1.10210681	0.935523093
NR_024279	FLJ37453	2.829256773	2.956562757	2.823636293	1.912755489	1.766686916	1.600588322	2.313835144	2.387360096	2.02651
NM_015001	SPEN	7.562320709	8.226220131	8.505643845	7.277217388	7.37971735	7.590284824	7.514038563	6.912568569	7.828632355
NM_003443	ZBTB17	5.724797249	6.082011223	5.867911816	6.855630398	5.891376972	6.470337868	5.943323135	6.779518127	5.871218681
NM_178840	C1orf64	0	0.052203417	0.155108675	0	0	0	0.051606197	0.058526646	0
NM_014424	HSPB7	0	0	0.016465548	0.049279973	0	0	0.016434753	0.037277348	0
NM_004070	CLCNKA	0.01904951	0.07583493	0.093884788	0.037465215	0.020033989	0	0.01874184	0.042510286	0.018042423
NM_000085	CLCNKB	0.055189904	0.183089674	0.090667114	0	0	0	0.199094594	0.061580021	0.069696248
NM_182623	FAM131C	0.454410911	0.932756245	0.587881029	1.927046776	2.060921431	1.78438735	0.754433453	1.014049053	0.753178358
NM_004431	EPHA2	43.34942245	42.91239166	43.06555176	52.0719223	49.62704468	49.7965889	40.04739761	40.46807861	37.86032486
NM_153213	ARHGEF19	2.47209692	2.61904645	2.48388958	3.669983149	3.639796972	3.787451029	1.977118731	2.117682934	2.205452442
NM_030907	RSG1	0.867094696	1.479364514	0.793639481	1.431267381	0.683929622	0.857413292	1.096830249	0.932937324	0.791923642
